Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
438,TRK 38-1,467.850000,off,0.000000,DTCS,88.5,88.5,351,NN,351,Tone->Tone,NFM,5.00,,5.0W,,,,,
441,TRK 41-1,462.987500,off,0.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
442,TRK 42-1,468.712500,off,0.000000,DTCS,88.5,88.5,134,NN,134,Tone->Tone,Auto,5.00,,5.0W,,,,,
443,TRK 43-1,457.287500,off,0.000000,TSQL,88.5,82.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
444,TRK 44-1,451.437500,off,0.000000,DTCS,88.5,88.5,54,NN,54,Tone->Tone,NFM,5.00,,5.0W,,,,,
445,TRK 45-1,463.725000,off,0.000000,DTCS,88.5,88.5,114,NN,114,Tone->Tone,NFM,5.00,,5.0W,,,,,
446,TRK 46-1,451.437500,off,0.000000,DTCS,88.5,88.5,54,NN,54,Tone->Tone,NFM,5.00,,5.0W,,,,,
452,TRK 52-1,468.162500,off,0.000000,DTCS,88.5,88.5,624,NN,624,Tone->Tone,NFM,5.00,,5.0W,,,,,
456,TRK 56-1,451.562500,off,0.000000,DTCS,88.5,88.5,371,NN,371,Tone->Tone,NFM,5.00,,5.0W,,,,,
461,TRK 61-1,452.575000,off,0.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
466,TRK 66-1,456.937500,off,0.000000,DTCS,88.5,88.5,53,NN,53,Tone->Tone,NFM,5.00,,5.0W,,,,,
471,TRK 71-1,469.587500,off,0.000000,DTCS,88.5,88.5,134,NN,134,Tone->Tone,NFM,5.00,,5.0W,,,,,
475,TRK 75-1,462.075000,off,0.000000,TSQL,88.5,131.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
476,TRK 76-1,467.662500,off,0.000000,DTCS,88.5,88.5,155,NN,155,Tone->Tone,NFM,5.00,,5.0W,,,,,
477,TRK 77-1,468.400000,off,0.000000,TSQL,88.5,97.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
484,TRK 84-1,466.700000,off,0.000000,TSQL,88.5,225.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
488,TRK 88-1,461.675000,off,0.000000,DTCS,88.5,88.5,226,NN,226,Tone->Tone,NFM,5.00,,5.0W,,,,,
490,TRK 90-1,461.325000,off,0.000000,DTCS,88.5,88.5,731,NN,731,Tone->Tone,NFM,5.00,,5.0W,,,,,
491,TRK 91-1,466.625000,off,0.000000,DTCS,88.5,88.5,115,NN,115,Tone->Tone,NFM,5.00,,5.0W,,,,,
497,TRK 97-1,451.037500,off,0.000000,DTCS,88.5,88.5,632,NN,632,Tone->Tone,NFM,5.00,,5.0W,,,,,
498,TRK 98-1,457.025000,off,0.000000,DTCS,88.5,88.5,431,NN,431,Tone->Tone,NFM,5.00,,5.0W,,,,,
499,TRK 99-1,468.687500,off,0.000000,DTCS,88.5,88.5,311,NN,311,Tone->Tone,NFM,5.00,,5.0W,,,,,
