Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
249,SF-OLIVER88-1,457.150000,off,0.000000,TSQL,88.5,127.3,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
250,SF-WILLIAMS89-1,467.187500,off,0.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
251,SF-WALL91-1,450.425000,off,0.000000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
252,SF-VAIL407-1,451.862500,off,0.000000,TSQL,88.5,146.2,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
253,SF-CANIPE2-1,467.512500,off,0.000000,DTCS,88.5,88.5,654,NN,654,Tone->Tone,NFM,5.00,,5.0W,,,,,
254,SF-VILLARREAL5-1,469.325000,off,0.000000,TSQL,88.5,192.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
255,SF-MACK11-1,465.762500,off,0.000000,TSQL,88.5,192.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
256,SF-LODEN54-1,457.312500,off,0.000000,DTCS,88.5,88.5,271,NN,271,Tone->Tone,NFM,5.00,,5.0W,,,,,
257,SF-BRADEN69-1,453.750000,off,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
258,SF-THORN16-1,460.387500,off,0.000000,DTCS,88.5,88.5,654,NN,654,Tone->Tone,NFM,5.00,,5.0W,,,,,
301,SF-RENFREW0-2,469.712500,off,0.000000,DTCS,88.5,88.5,606,NN,606,Tone->Tone,NFM,5.00,,5.0W,,,,,
302,SF-BOLEN2-2,463.275000,off,0.000000,DTCS,88.5,88.5,72,NN,72,Tone->Tone,NFM,5.00,,5.0W,,,,,
303,SF-MUNSON3-2,467.912500,off,0.000000,DTCS,88.5,88.5,315,NN,315,Tone->Tone,NFM,5.00,,5.0W,,,,,
304,SF-MASSEY4-2,469.325000,off,0.000000,TSQL,88.5,156.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
305,SF-CANCILLA5-2,459.287500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
306,SF-MILLER5-2,466.362500,off,0.000000,DTCS,88.5,88.5,466,NN,466,Tone->Tone,NFM,5.00,,5.0W,,,,,
308,SF-LOPEZ6-2,458.362500,off,0.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
309,SF-BALDWIN7-2,460.112500,off,0.000000,DTCS,88.5,88.5,51,NN,51,Tone->Tone,NFM,5.00,,5.0W,,,,,
310,SF-THORN7-2,459.787500,off,0.000000,DTCS,88.5,88.5,606,NN,606,Tone->Tone,NFM,5.00,,5.0W,,,,,
311,SF-PATRICK11-2,463.362500,off,0.000000,DTCS,88.5,88.5,432,NN,432,Tone->Tone,NFM,5.00,,5.0W,,,,,
312,SF-REEVES11-2,461.287500,off,0.000000,DTCS,88.5,88.5,143,NN,143,Tone->Tone,NFM,5.00,,5.0W,,,,,
313,SF-CAPPELLO11-2,467.062500,off,0.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
314,SF-PINSONNEAUT14,462.837500,off,0.000000,DTCS,88.5,88.5,152,NN,152,Tone->Tone,NFM,5.00,,5.0W,,,,,
315,SF-BALDWIN15-2,461.562500,off,0.000000,DTCS,88.5,88.5,152,NN,152,Tone->Tone,NFM,5.00,,5.0W,,,,,
316,SF-DECAIRE15-2,461.575000,off,0.000000,TSQL,88.5,71.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
317,SF-BULGER17-2,456.187500,off,0.000000,DTCS,88.5,88.5,226,NN,226,Tone->Tone,NFM,5.00,,5.0W,,,,,
318,SF-FINCH18-2,462.125000,off,0.000000,DTCS,88.5,88.5,464,NN,464,Tone->Tone,NFM,5.00,,5.0W,,,,,
319,SF-COURTNEY22-2,467.850000,off,0.000000,TSQL,88.5,173.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
320,SF-BOSHELE24-2,462.025000,off,0.000000,DTCS,88.5,88.5,365,NN,365,Tone->Tone,NFM,5.00,,5.0W,,,,,
322,SF-FAULK25-2,457.025000,off,0.000000,DTCS,88.5,88.5,51,NN,51,Tone->Tone,NFM,5.00,,5.0W,,,,,
323,SF-RIPLEY25-2,459.812500,off,0.000000,DTCS,88.5,88.5,732,NN,732,Tone->Tone,NFM,5.00,,5.0W,,,,,
324,SF-POLLARD26-2,465.787500,off,0.000000,DTCS,88.5,88.5,464,NN,464,Tone->Tone,NFM,5.00,,5.0W,,,,,
325,SF-DAVIS29-2,461.625000,off,0.000000,DTCS,88.5,88.5,365,NN,365,Tone->Tone,NFM,5.00,,5.0W,,,,,
326,SF-DUTTON32-2,462.225000,off,0.000000,DTCS,88.5,88.5,172,NN,172,Tone->Tone,NFM,5.00,,5.0W,,,,,
327,SF-SMITH33-2,461.387500,off,0.000000,DTCS,88.5,88.5,331,NN,331,Tone->Tone,NFM,5.00,,5.0W,,,,,
328,SF-CALDWELL40-2,451.450000,off,0.000000,DTCS,88.5,88.5,411,NN,411,Tone->Tone,NFM,5.00,,5.0W,,,,,
329,SF-LODEN43-2,464.550000,off,0.000000,DTCS,88.5,88.5,732,NN,732,Tone->Tone,NFM,5.00,,5.0W,,,,,
330,SF-GRILL43-2,467.187500,off,0.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
331,SF-JONES44-2,465.087500,off,0.000000,DTCS,88.5,88.5,664,NN,664,Tone->Tone,NFM,5.00,,5.0W,,,,,
332,SF-CHRISTENSEN45,462.575000,off,0.000000,DTCS,88.5,88.5,261,NN,261,Tone->Tone,NFM,5.00,,5.0W,,,,,
333,SF-WILLIAMS46-2,456.337500,off,0.000000,DTCS,88.5,88.5,631,NN,631,Tone->Tone,NFM,5.00,,5.0W,,,,,
334,SF-HONEYCUTT47-2,453.337500,off,0.000000,DTCS,88.5,88.5,65,NN,65,Tone->Tone,NFM,5.00,,5.0W,,,,,
335,SF-SMITH47-2,457.337500,off,0.000000,DTCS,88.5,88.5,743,NN,743,Tone->Tone,NFM,5.00,,5.0W,,,,,
336,SF-NOLAND50-2,469.256200,off,0.000000,DTCS,88.5,88.5,245,NN,245,Tone->Tone,NFM,5.00,,5.0W,,,,,
337,SF-NASSE51-2,458.775000,off,0.000000,DTCS,88.5,88.5,32,NN,32,Tone->Tone,NFM,5.00,,5.0W,,,,,
338,SF-BELLO51-2,450.825000,off,0.000000,DTCS,88.5,88.5,26,NN,26,Tone->Tone,NFM,5.00,,5.0W,,,,,
339,SF-GREEN54-2,464.500000,off,0.000000,DTCS,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.00,,5.0W,,,,,
340,SF-CRAIG54-2,459.425000,off,0.000000,DTCS,88.5,88.5,413,NN,413,Tone->Tone,NFM,5.00,,5.0W,,,,,
341,SF-BUTCHER54-2,458.662500,off,0.000000,DTCS,88.5,88.5,205,NN,205,Tone->Tone,NFM,5.00,,5.0W,,,,,
342,SF-PHILLIPS55-2,469.562500,off,0.000000,TSQL,88.5,210.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
343,SF-RODERICK62-2,458.412500,off,0.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
344,SF-ALLMAN67-2,461.037500,off,0.000000,TSQL,88.5,225.7,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
346,SF-HINDE69-2,465.350000,off,0.000000,DTCS,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.00,,5.0W,,,,,
347,SF-BROWN81-2,459.262500,off,0.000000,TSQL,88.5,192.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
348,SF-THOMPSON82-2,466.025000,off,0.000000,DTCS,88.5,88.5,356,NN,356,Tone->Tone,NFM,5.00,,5.0W,,,,,
349,SF-OLIVER88-2,453.525000,off,0.000000,TSQL,88.5,146.2,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
350,SF-WILLIAMS89-2,455.725000,off,0.000000,DTCS,88.5,88.5,47,NN,47,Tone->Tone,NFM,5.00,,5.0W,,,,,
351,SF-WALL91-2,463.825000,off,0.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
352,SF-VAIL407-2,461.925000,off,0.000000,TSQL,88.5,167.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
353,SF-CANIPE2-2,469.987500,off,0.000000,DTCS,88.5,88.5,371,NN,371,Tone->Tone,NFM,5.00,,5.0W,,,,,
354,SF-VILLARREAL5-2,464.887500,off,0.000000,DTCS,88.5,88.5,51,NN,51,Tone->Tone,NFM,5.00,,5.0W,,,,,
355,SF-MACK11-2,461.287500,off,0.000000,DTCS,88.5,88.5,143,NN,143,Tone->Tone,NFM,5.00,,5.0W,,,,,
356,SF-LODEN54-2,466.450000,off,0.000000,DTCS,88.5,88.5,732,NN,732,Tone->Tone,NFM,5.00,,5.0W,,,,,
357,SF-BRADEN69-2,461.737500,off,0.000000,DTCS,88.5,88.5,226,NN,226,Tone->Tone,NFM,5.00,,5.0W,,,,,
358,SF-THORN16-2,469.425000,off,0.000000,TSQL,88.5,179.9,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
